"文件路径","函数名/类名","数据主题","数据源名称","endpoint / URL / 第三方库","输入参数","输出字段","单位口径","是否实时","是否适配 A 股","是否有 fallback","失败时当前如何处理","是否返回 Markdown 或自然语言文本","是否可能被 Agent 误读","初步稳定性评级","初步备注"
"tradingagents/dataflows/a_stock.py","get_profit_forecast","盈利预测/前向估值","同花顺; 腾讯财经","https://basic.10jqka.com.cn/new/{code}/worth.html; https://qt.gtimg.cn/q=...","ticker; curr_date unused","年度; 预测机构数; EPS min/mean/max; 当前价; PE(TTM); Forward PE; PEG; PE digestion","EPS 元/股; PE 倍数; CAGR 百分比","部分实时; 预测非实时","是","部分; forward valuation 价格来自腾讯; EPS 表无 fallback","无覆盖返回 No analyst coverage; 异常返回 Error 文本","是; Markdown/自然语言","高","高风险","一致预期是第三方聚合; 低覆盖仅文本 warning; 估值推导可能被当强事实"
"tradingagents/dataflows/a_stock.py","get_hot_stocks","涨停/题材归因","同花顺编辑题材","http://zx.10jqka.com.cn/event/api/getharden/date/{curr_date}/orderby/date/orderway/desc/charset/GBK/","curr_date","code; name; zhangfu; huanshou; chengjiaoe; ddejingliang; reason; theme frequency","涨幅/换手率百分比; 成交额原始字符串; 大单净量原始口径","日内/当日","是","否","API errocode 返回 同花顺 API error; 空返回 No hot stocks data; 异常返回 Error 文本","是; Markdown/自然语言","高","高风险","人工编辑 reason tags 容易被包装成确定题材因果; 当日热股是市场级列表"
"tradingagents/dataflows/a_stock.py","get_northbound_flow","北向资金","同花顺 hsgtApi + 本地 cache","https://data.hexin.cn/market/hsgtApi/method/dayChart/; local northbound_daily.csv","curr_date; include_history","time; HGT; SGT; Total; Signal; historical cache","亿元; 累计净买入; 历史为本地快照","是; 分钟级","是; 市场级","是; 历史使用本地 cache 但实时无外部 fallback","异常返回 Error fetching northbound flow; 无实时时返回 No realtime data 并可能继续历史","是; Markdown/自然语言","高","高风险","curr_date 只用于标题; 保存快照使用 datetime.now; 市场级资金信号可能被个股化"
"tradingagents/dataflows/a_stock.py","get_concept_blocks","概念/行业/地域归属","百度股市通 PAE","https://finance.pae.baidu.com/api/getrelatedblock?stock=...&finClientType=pc","ticker","category name; block name; ratio; describe; concept tags","ratio 原样; 常为当日涨跌幅但未标准化","可能实时/当日","是","否","ResultCode 非 0 返回 Baidu PAE error; 空返回 No concept/block data; 异常返回 Error 文本","是; Markdown/自然语言","高","高风险","概念标签是第三方分类; ratio 单位不明确; 很容易被下游当作确定业务归属"
"tradingagents/dataflows/a_stock.py","get_fund_flow","个股资金流","东方财富 push2/push2his","https://push2.eastmoney.com/api/qt/stock/fflow/kline/get; https://push2his.eastmoney.com/api/qt/stock/fflow/daykline/get","ticker; curr_date; include_history","minute klines; main/small/mid/large/super net flow; daily history; Signal","实时原始为元; 输出转万元; 历史转万元","是; 分钟级","是","部分; 实时空继续历史; 无备用源","异常返回 Error fetching fund flow; 无实时只写 No realtime fund flow","是; Markdown/自然语言","高","高风险","资金流算法为东财口径黑盒; Signal bullish/bearish 文本可能过度影响 Agent"
"tradingagents/dataflows/a_stock.py","get_dragon_tiger_board","龙虎榜/席位","东方财富 datacenter","https://datacenter-web.eastmoney.com/api/data/v1/get reportName=RPT_DAILYBILLBOARD_DETAILSNEW/RPT_BILLBOARD_DAILYDETAILSBUY/RPT_BILLBOARD_DAILYDETAILSSELL","ticker; trade_date; look_back_days","TRADE_DATE; EXPLANATION; BILLBOARD_NET_AMT; TURNOVERRATE; OPERATEDEPT_NAME; BUY; SELL; NET; institutional filtered by OPERATEDEPT_CODE=0","金额输出万元; 换手率百分比","否","是","否","列表异常写入 查询失败 文本; 席位异常 pass 静默; 无数据写未上榜","是; Markdown/自然语言","高","高风险","seat detail 异常被隐藏; 机构动向由席位代码推断; 无数据可能是真无上榜也可能接口失败"
"tradingagents/dataflows/a_stock.py","get_lockup_expiry","限售解禁","东方财富 datacenter","https://datacenter-web.eastmoney.com/api/data/v1/get reportName=RPT_LIFT_STAGE","ticker; trade_date; forward_days","FREE_DATE; LIMITED_STOCK_TYPE; FREE_SHARES_NUM; FREE_RATIO","数量/占比原始口径; 单位未转换","否","是","否","异常写入 查询失败 文本; 无数据写无记录/无待解禁","是; Markdown/自然语言","中","一般","无数据和接口异常都混入报告文本; FREE_SHARES_NUM 单位未声明"
"tradingagents/dataflows/a_stock.py","get_industry_comparison","行业横向对比","东方财富 push2 行业板块","https://push2.eastmoney.com/api/qt/clist/get fs=m:90+t:2 fields=f2,f3,f4,f12,f13,f14,f104,f105,f128,f136,f140,f141,f207","ticker; trade_date; top_n","industry name; change_pct; up_count; down_count; leader","涨跌幅百分比; 成交额/资金字段请求但未输出; 行业为市场级","是/当日","是; 市场级","否","空结果写 行业数据获取为空; 异常写 查询失败","是; Markdown/自然语言","高","高风险","函数未真正识别目标个股所属行业; 返回全行业排名，易被当作个股行业对比"
"tradingagents/dataflows/interface.py","route_to_vendor","数据源路由/fallback","本地 vendor 路由","VENDOR_METHODS: a_stock/yfinance/alpha_vantage; 配置 data_vendors/tool_vendors","method; *args; **kwargs","任一 vendor 返回值","继承被调用 vendor","继承被调用 vendor","部分","是; 配置 vendor 后追加其他可用 vendor; 但仅 AlphaVantageRateLimitError 触发继续","非 Alpha 限流异常直接冒泡; vendor 返回错误文本不会 fallback","否; 返回被调用函数原始结果","高","高风险","隐藏 fallback 链存在; 文本型失败不会触发备用源，Agent 无法区分错误文本与正常文本"
"tradingagents/dataflows/y_finance.py","get_YFin_data_online","行情/K线","Yahoo Finance via yfinance","yfinance.Ticker(symbol).history(start,end)","symbol; start_date; end_date","Open; High; Low; Close; Adj Close; Volume; Dividends; Stock Splits 等 yfinance 字段","美元/本地市场货币; Volume 股; Yahoo 原始口径","延迟/非保证实时","否; A 股支持弱且代码格式需 Yahoo 后缀","否; 只有 yfinance 内部重试限流","空返回 No data found; 异常由 route 或调用处处理","是; header + CSV","高","一般","示例 main.py 使用 yfinance; 若传 6 位 A 股代码大概率不按 A 股解释"
"tradingagents/dataflows/y_finance.py / stockstats_utils.py","get_stock_stats_indicators_window / load_ohlcv","技术指标","Yahoo Finance + stockstats","yfinance.download(symbol,start,end,auto_adjust=True); 本地 CSV cache","symbol; indicator; curr_date; look_back_days","日期: 指标值; 指标说明","auto_adjust 后价格; 指标单位随指标","否","否; A 股支持弱","是; bulk 指标失败后逐日 StockstatsUtils fallback; yfinance 限流重试","bulk 异常 print 后 fallback; 单日失败返回空字符串","是; Markdown/自然语言","高","高风险","空字符串指标会静默进入报告; cache 文件名安全处理但 Yahoo ticker 口径不适配 A 股"
"tradingagents/dataflows/y_finance.py","get_fundamentals","基本面/估值","Yahoo Finance via yfinance","yfinance.Ticker(ticker).info","ticker; curr_date unused","longName; sector; industry; marketCap; PE; PEG; EPS; margins; ROE; debtToEquity 等","Yahoo 原始口径; 货币/百分比未统一","可能延迟","否; A 股支持弱","否; yfinance 限流重试","空 info 返回 No fundamentals data found; 异常返回 Error 文本","是; Markdown/自然语言","高","一般","字段单位未标注; A 股传纯 6 位代码风险高"
"tradingagents/dataflows/y_finance.py","get_balance_sheet","财务报表","Yahoo Finance via yfinance","yfinance.Ticker(ticker).quarterly_balance_sheet / balance_sheet","ticker; freq; curr_date","yfinance balance sheet DataFrame CSV","Yahoo 原始币种; 列为财政期","否","否; A 股支持弱","否","空表返回 No balance sheet data found; 异常返回 Error 文本","是; header + CSV","中","一般","filter_financials_by_date 防未来列; 但币种/会计准则不适配 A 股"
"tradingagents/dataflows/y_finance.py","get_cashflow","财务报表","Yahoo Finance via yfinance","yfinance.Ticker(ticker).quarterly_cashflow / cashflow","ticker; freq; curr_date","yfinance cashflow DataFrame CSV","Yahoo 原始币种; 列为财政期","否","否; A 股支持弱","否","空表返回 No cash flow data found; 异常返回 Error 文本","是; header + CSV","中","一般","同上; A 股纯代码可能错配"
"tradingagents/dataflows/y_finance.py","get_income_statement","财务报表","Yahoo Finance via yfinance","yfinance.Ticker(ticker).quarterly_income_stmt / income_stmt","ticker; freq; curr_date","yfinance income statement DataFrame CSV","Yahoo 原始币种; 列为财政期","否","否; A 股支持弱","否","空表返回 No income statement data found; 异常返回 Error 文本","是; header + CSV","中","一般","同上; CAS/IFRS/US GAAP 口径未区分"
"tradingagents/dataflows/y_finance.py","get_insider_transactions","内部人交易","Yahoo Finance via yfinance","yfinance.Ticker(ticker).insider_transactions","ticker","insider transactions DataFrame CSV","Yahoo 原始字段","否","否; A 股不适配","否","空表返回 No insider transactions data found; 异常返回 Error 文本","是; header + CSV","中","高风险","如果被 A 股路由误用，会把美股 insider 模型套到 A 股"
"tradingagents/dataflows/yfinance_news.py","get_news_yfinance","个股新闻","Yahoo Finance via yfinance","yfinance.Ticker(ticker).get_news(count=20)","ticker; start_date; end_date","title; summary; publisher; link; pub_date","新闻文本; 日期按 yfinance pubDate","近实时/延迟未知","否; A 股支持弱","否; yfinance 限流重试","无新闻/过滤为空返回 No news found; 异常返回 Error 文本","是; Markdown 新闻列表","高","高风险","媒体报道和摘要直接进入 Agent; A 股纯代码不适配"
"tradingagents/dataflows/yfinance_news.py","get_global_news_yfinance","全球新闻/宏观","Yahoo Finance Search","yfinance.Search(query, news_count=limit, enable_fuzzy_query=True); queries=stock market economy/Federal Reserve/inflation/global markets","curr_date; look_back_days; limit","title; summary; publisher; link; pub_date","新闻文本; 搜索结果相关性口径","近实时/延迟未知","否; 全球市场","是; 多 query 聚合但无外部备用","全空返回 No global news found; 异常返回 Error 文本","是; Markdown 新闻列表","高","高风险","查询主题偏美股/美联储，可能污染 A 股宏观判断"
"tradingagents/dataflows/alpha_vantage_stock.py","get_stock","行情/K线","Alpha Vantage","https://www.alphavantage.co/query function=TIME_SERIES_DAILY_ADJUSTED datatype=csv","symbol; start_date; end_date; ALPHA_VANTAGE_API_KEY","timestamp; open; high; low; close; adjusted_close; volume; dividend_amount; split_coefficient","Alpha Vantage 原始币种; 日线; adjusted close","否","否; A 股不适配","否; route 仅限 rate limit fallback 到其他 vendor","API key 缺失抛 ValueError; HTTP 错误抛; rate limit 抛 AlphaVantageRateLimitError","否; CSV 字符串","中","一般","需 API key; 免费额度/海外源; 输出无 Markdown header"
"tradingagents/dataflows/alpha_vantage_indicator.py","get_indicator","技术指标","Alpha Vantage","https://www.alphavantage.co/query functions=SMA/EMA/MACD/RSI/BBANDS/ATR","symbol; indicator; curr_date; look_back_days; interval; time_period; series_type; API key","date:value lines; indicator description","指标单位随函数; Alpha 原始口径","否","否; A 股不适配","部分; VWMA 直接返回说明文本; route 限流 fallback","异常 print 并返回 Error retrieving ... 文本; 无数据返回 Error/No data 文本","是; Markdown/自然语言","高","一般","指标失败文本与正常说明同形态; VWMA 未真实计算但返回自然语言"
"tradingagents/dataflows/alpha_vantage_fundamentals.py","get_fundamentals","基本面/估值","Alpha Vantage","https://www.alphavantage.co/query function=OVERVIEW","ticker; curr_date; API key","Company overview JSON/字符串","Alpha 原始口径; 美股为主","否","否; A 股不适配","否; rate limit 由 route fallback","API key/HTTP/rate limit 抛异常; 正常返回原始 response_text","否; 原始 JSON 字符串","中","一般","返回类型与其他 vendor 不一致; curr_date 不用于过滤"
"tradingagents/dataflows/alpha_vantage_fundamentals.py","get_balance_sheet","财务报表","Alpha Vantage","https://www.alphavantage.co/query function=BALANCE_SHEET","ticker; freq; curr_date; API key","annualReports; quarterlyReports","Alpha 原始币种/字段; fiscalDateEnding","否","否; A 股不适配","否","API key/HTTP/rate limit 抛异常; 日期过滤仅当 result 为 dict","否; dict 或字符串","中","一般","_make_api_request 实际返回 response_text 字符串，_filter_reports_by_date 对字符串无效"
"tradingagents/dataflows/alpha_vantage_fundamentals.py","get_cashflow","财务报表","Alpha Vantage","https://www.alphavantage.co/query function=CASH_FLOW","ticker; freq; curr_date; API key","annualReports; quarterlyReports","Alpha 原始币种/字段","否","否; A 股不适配","否","同 balance_sheet","否; dict 或字符串","中","一般","类型不一致风险同上"
"tradingagents/dataflows/alpha_vantage_fundamentals.py","get_income_statement","财务报表","Alpha Vantage","https://www.alphavantage.co/query function=INCOME_STATEMENT","ticker; freq; curr_date; API key","annualReports; quarterlyReports","Alpha 原始币种/字段","否","否; A 股不适配","否","同 balance_sheet","否; dict 或字符串","中","一般","类型不一致风险同上"
"tradingagents/dataflows/alpha_vantage_news.py","get_news","个股新闻/情绪","Alpha Vantage","https://www.alphavantage.co/query function=NEWS_SENTIMENT","ticker; start_date; end_date; API key","feed; title; url; time_published; authors; summary; source; ticker_sentiment 等","新闻文本/情绪分数; Alpha 原始口径","近实时/延迟未知","否; A 股不适配","否; route rate limit fallback","API key/HTTP/rate limit 抛; 正常返回原始 JSON 字符串","否; 原始 JSON 字符串","中","高风险","海外新闻语料; 若用于 A 股会严重错配; sentiment 可能被当强信号"
"tradingagents/dataflows/alpha_vantage_news.py","get_global_news","全球新闻/情绪","Alpha Vantage","https://www.alphavantage.co/query function=NEWS_SENTIMENT topics=financial_markets,economy_macro,economy_monetary","curr_date; look_back_days; limit; API key","feed; summary; source; sentiment fields","新闻文本/情绪分数; Alpha 原始口径","近实时/延迟未知","否; 全球/美股偏向","否; route rate limit fallback","同 Alpha request","否; 原始 JSON 字符串","中","高风险","宏观主题偏全球/美国; 与 A 股政策新闻口径不同"
"tradingagents/dataflows/alpha_vantage_news.py","get_insider_transactions","内部人交易","Alpha Vantage","https://www.alphavantage.co/query function=INSIDER_TRANSACTIONS","symbol; API key","insider transaction records","美股 insider 原始口径","否","否; A 股不适配","否; route rate limit fallback","同 Alpha request","否; 原始 JSON 字符串","中","高风险","不适合作为 A 股内部人/股东数据"
"tradingagents/graph/trading_graph.py","TradingAgentsGraph._fetch_returns","收益回填/记忆评估","Yahoo Finance via yfinance","yfinance.Ticker(ticker).history(...); yfinance.Ticker('000300.SS').history(...)","ticker; trade_date; holding_days","raw_return; alpha_return; actual_holding_days","收益率小数; benchmark 为沪深300 Yahoo 代码 000300.SS","否","部分; benchmark 是 A 股指数但个股 ticker 未强制 A 股格式","否","异常 warning 后返回 (None,None,None); 后续等待下次运行","否","中","一般","记忆回填使用 yfinance 而非 a_stock; 可能与主数据源不一致"
"cli/announcements.py","fetch_announcements","CLI 公告/运维元数据","Tauric API","https://api.tauric.ai/v1/announcements","url; timeout","announcements; require_attention","文本公告","是/启动时","非投研数据","是; 本地 fallback 文本","异常返回 fallback announcement; 不抛错","否; dict 但用于展示自然语言","低","稳定","非投研数据源; 已纳入硬编码外部调用盘点"
"cli/utils.py","_fetch_openrouter_models","模型目录/运维元数据","OpenRouter API","https://openrouter.ai/api/v1/models","none","model name; model id","模型目录文本","是/调用时","非投研数据","否","异常打印 Could not fetch OpenRouter models 并返回 []","否; list tuple","低","稳定","非金融数据; 不进入 Agent 投研上下文"
