source_doc_id,source_url,source_path,一级分类,二级分类,三级分类,接口中文名称,接口英文名 / API 名称,接口描述,权限要求原文,最低积分要求,当前5000积分是否可用,每分钟调用限制,每日调用限制,单次最大返回条数,输入参数,输出参数,是否属于基础数据,是否属于行情数据,是否属于财务数据,是否属于新闻/资讯/舆情数据,是否属于资金流/资金面数据,是否属于股东/解禁/龙虎榜/公告等事件数据,是否适合作为TradingAgents-astock数据源替换候选,可替换当前TradingAgents哪类函数或数据主题,备注
472,https://tushare.pro/document/2?doc_id=472,ETF专题 > ETF每日持仓组合(深市）,ETF专题,,,ETF每日持仓组合(深市）,etf_sz_cons,"获取深交所场内所有ETF每日盘前披露的一篮子组合信息,包括成分股票数量、申赎现金折溢价比例等数据",限量：单次最大3000条，可根据代码或日期循环提取；积分：需要8000积分可以调取，具体请参阅 积分获取办法,8000,5000积分不可用,,,3000,"ts_code(类型:str,必选:N):板块代码 | trade_date(类型:str,必选:N):交易日期(YYYYMMDD) | con_code(类型:str,必选:N):成分股票代码 | start_date(类型:str,必选:N):开始日期(YYYYMMDD) | end_date(类型:str,必选:N):结束日期(YYYYMMDD)",trade_date(类型:str):交易日期 | ts_code(类型:str):ETF代码 | con_code(类型:str):成分代码 | con_name(类型:str):成分名称 | qty(类型:int):股票数量(股) | sub_flag(类型:str):现金替代标志 | cpr(类型:float):申购现金替代保证金率（%） | rdr(类型:float):赎回现金替代保证金率（%） | sub_cc(类型:float):申购替代金额(单位：人民币元) | red_cc(类型:float):赎回替代金额(单位：人民币元) | exchange(类型:str):交易所代码HK港交所 SH上交所 SZ深交所 OTH其他,否,否,否,否,否,是,否,,分类来自总览页链接或显式目录映射
185,https://tushare.pro/document/2?doc_id=185,债券专题 > 可转债基本信息,债券专题,,,可转债基本信息,cb_basic,获取可转债基本信息,限量：单次最大2000，总量不限制；权限：用户需要至少2000积分才可以调取，但有流量控制，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,2000,5000积分可用,,,,"ts_code(类型:str,必选:N):转债代码 | list_date(类型:str,必选:N):上市日期 | exchange(类型:str,必选:N):上市交易所","ts_code(类型:str):转债代码 | bond_full_name(类型:str):转债名称 | bond_short_name(类型:str):转债简称 | cb_code(类型:str):转股申报代码 | cb_type(类型:str):转债类型: CB-可转债,EB-可交换债 | stk_code(类型:str):正股代码 | stk_short_name(类型:str):正股简称 | maturity(类型:float):发行期限（年） | par(类型:float):面值 | issue_price(类型:float):发行价格 | issue_size(类型:float):发行总额（元） | remain_size(类型:float):债券余额（元） | value_date(类型:str):起息日期 | maturity_date(类型:str):到期日期 | rate_type(类型:str):利率类型 | coupon_rate(类型:float):票面利率（%） | add_rate(类型:float):补偿利率（%） | pay_per_year(类型:int):年付息次数 | list_date(类型:str):上市日期 | delist_date(类型:str):摘牌日 | exchange(类型:str):上市交易所 | conv_start_date(类型:str):转股起始日 | conv_end_date(类型:str):转股截止日 | conv_stop_date(类型:str):停止转股日(提前到期) | first_conv_price(类型:float):初始转股价 | conv_price(类型:float):最新转股价 | rate_clause(类型:str):利率说明 | put_clause(类型:str):回售条款 | maturity_call_price(类型:str):到期赎回价格(含税) | maturity_put_price(类型:str):到期赎回价格(含税)[更名停用，请使用maturity_call_price] | call_clause(类型:str):赎回条款 | reset_clause(类型:str):特别向下修正条款 | conv_clause(类型:str):转股条款 | guarantor(类型:str):担保人 | guarantee_type(类型:str):担保方式 | issue_rating(类型:str):发行信用等级 | newest_rating(类型:str):最新信用等级 | rating_comp(类型:str):最新评级机构",否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
186,https://tushare.pro/document/2?doc_id=186,债券专题 > 可转债发行,债券专题,,,可转债发行,cb_issue,获取可转债发行数据,限量：单次最大2000，可多次提取，总量不限制；积分：用户需要至少2000积分才可以调取，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,2000,5000积分可用,,,,"ts_code(类型:str,必选:N):TS代码 | ann_date(类型:str,必选:N):发行公告日 | start_date(类型:str,必选:N):公告开始日期 | end_date(类型:str,必选:N):公告结束日期",ts_code(类型:str):转债代码 | ann_date(类型:str):发行公告日 | res_ann_date(类型:str):发行结果公告日 | plan_issue_size(类型:float):计划发行总额（元） | issue_size(类型:float):发行总额（元） | issue_price(类型:float):发行价格 | issue_type(类型:str):发行方式 | issue_cost(类型:float):发行费用（元） | onl_code(类型:str):网上申购代码 | onl_name(类型:str):网上申购简称 | onl_date(类型:str):网上发行日期 | onl_size(类型:float):网上发行总额（张） | onl_pch_vol(类型:float):网上发行有效申购数量（张） | onl_pch_num(类型:int):网上发行有效申购户数 | onl_pch_excess(类型:float):网上发行超额认购倍数 | onl_winning_rate(类型:float):网上发行中签率（%） | shd_ration_code(类型:str):老股东配售代码 | shd_ration_name(类型:str):老股东配售简称 | shd_ration_date(类型:str):老股东配售日 | shd_ration_record_date(类型:str):老股东配售股权登记日 | shd_ration_pay_date(类型:str):老股东配售缴款日 | shd_ration_price(类型:float):老股东配售价格 | shd_ration_ratio(类型:float):老股东配售比例 | shd_ration_size(类型:float):老股东配售数量（张） | shd_ration_vol(类型:float):老股东配售有效申购数量（张） | shd_ration_num(类型:int):老股东配售有效申购户数 | shd_ration_excess(类型:float):老股东配售超额认购倍数 | offl_size(类型:float):网下发行总额（张） | offl_deposit(类型:float):网下发行定金比例（%） | offl_pch_vol(类型:float):网下发行有效申购数量（张） | offl_pch_num(类型:int):网下发行有效申购户数 | offl_pch_excess(类型:float):网下发行超额认购倍数 | offl_winning_rate(类型:float):网下发行中签率 | lead_underwriter(类型:str):主承销商 | lead_underwriter_vol(类型:float):主承销商包销数量（张）,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
187,https://tushare.pro/document/2?doc_id=187,债券专题 > 可转债行情,债券专题,,,可转债行情,cb_daily,获取可转债行情,限量：单次最大2000条，可多次提取，总量不限制；积分：用户需要至少2000积分才可以调取，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,2000,5000积分可用,,,2000,"ts_code(类型:str,必选:N):TS代码 | trade_date(类型:str,必选:N):交易日期(YYYYMMDD格式，下同) | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",ts_code(类型:str):转债代码 | trade_date(类型:str):交易日期 | pre_close(类型:float):昨收盘价(元) | open(类型:float):开盘价(元) | high(类型:float):最高价(元) | low(类型:float):最低价(元) | close(类型:float):收盘价(元) | change(类型:float):涨跌(元) | pct_chg(类型:float):涨跌幅(%) | vol(类型:float):成交量(手) | amount(类型:float):成交金额(万元) | bond_value(类型:float):纯债价值 | bond_over_rate(类型:float):纯债溢价率(%) | cb_value(类型:float):转股价值 | cb_over_rate(类型:float):转股溢价率(%),否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射
246,https://tushare.pro/document/2?doc_id=246,债券专题 > 可转债转股价变动,债券专题,,,可转债转股价变动,cb_price_chg,获取可转债转股价变动,限量：单次最大2000，总量不限制；权限：本接口需单独开权限（跟积分没关系），具体请参阅 积分获取办法,,需确认,,,,"ts_code(类型:str,必选:Y):转债代码，支持多值输入",ts_code(类型:str):转债代码 | bond_short_name(类型:str):转债简称 | publish_date(类型:str):公告日期 | change_date(类型:str):变动日期 | convert_price_initial(类型:float):初始转股价格 | convertprice_bef(类型:float):修正前转股价格 | convertprice_aft(类型:float):修正后转股价格,否,否,否,否,否,否,否,,分类由标题/API名推断；权限命中单独/申请/开通等关键词，未强判为可用
247,https://tushare.pro/document/2?doc_id=247,债券专题 > 可转债转股结果,债券专题,,,可转债转股结果,cb_share,获取可转债转股结果,限量：单次最大2000，总量不限制；权限：用户需要至少2000积分才可以调取，但有流量控制，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,2000,5000积分可用,,,,"ts_code(类型:str,必选:Y):转债代码，支持多值输入 | ann_date(类型:str,必选:Y):公告日期（YYYYMMDD格式，下同） | start_date(类型:str,必选:N):公告开始日期 | end_date(类型:str,必选:N):公告结束日期",ts_code(类型:str):债券代码 | bond_short_name(类型:str):债券简称 | publish_date(类型:str):公告日期 | end_date(类型:str):统计截止日期 | issue_size(类型:float):可转债发行总额 | convert_price_initial(类型:float):初始转换价格 | convert_price(类型:float):本次转换价格 | convert_val(类型:float):本次转股金额 | convert_vol(类型:float):本次转股数量 | convert_ratio(类型:float):本次转股比例 | acc_convert_val(类型:float):累计转股金额 | acc_convert_vol(类型:float):累计转股数量 | acc_convert_ratio(类型:float):累计转股比例 | remain_size(类型:float):可转债剩余金额 | total_shares(类型:float):转股后总股本,否,否,否,否,否,否,否,,分类由标题/API名推断
256,https://tushare.pro/document/2?doc_id=256,债券专题 > 债券回购日行情,债券专题,,,债券回购日行情,repo_daily,债券回购日行情,限量：单次最大2000条，可多次提取，总量不限制；权限：用户需要累积2000积分才可以调取，具体请参阅 积分获取办法,2000,5000积分可用,,,2000,"ts_code(类型:str,必选:N):TS代码 | trade_date(类型:str,必选:N):交易日期(YYYYMMDD格式，下同) | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",ts_code(类型:str):TS代码 | trade_date(类型:str):交易日期 | repo_maturity(类型:str):期限品种 | pre_close(类型:float):前收盘(%) | open(类型:float):开盘价(%) | high(类型:float):最高价(%) | low(类型:float):最低价(%) | close(类型:float):收盘价(%) | weight(类型:float):加权价(%) | weight_r(类型:float):加权价(利率债)(%) | amount(类型:float):成交金额(万元) | num(类型:int):成交笔数(笔),否,是,否,否,否,是,否,,分类由标题/API名推断
269,https://tushare.pro/document/2?doc_id=269,债券专题 > 可转债赎回信息,债券专题,,,可转债赎回信息,cb_call,获取可转债到期赎回、强制赎回等信息。数据来源于公开披露渠道，供个人和机构研究使用，请不要用于数据商业目的。,限量：单次最大2000条数据，可以根据日期循环提取，本接口需5000积分。,5000,5000积分可用,,,2000,"ts_code(类型:str,必选:N):转债代码，支持多值输入 | ann_date(类型:str,必选:N):公告日期(YYYYMMDD格式，下同) | start_date(类型:str,必选:N):公告开始日期 | end_date(类型:str,必选:N):公告结束日期",ts_code(类型:str):转债代码 | call_type(类型:str):赎回类型：到赎、强赎 | is_call(类型:str):是否赎回：已满足强赎条件、公告提示强赎、公告实施强赎、公告到期赎回、公告不强赎 | ann_date(类型:str):公告/提示日期 | call_date(类型:str):赎回日期 | call_price(类型:float):赎回价格(含税，元/张) | call_price_tax(类型:float):赎回价格(扣税，元/张) | call_vol(类型:float):赎回债券数量(张) | call_amount(类型:float):赎回金额(万元) | payment_date(类型:str):行权后款项到账日 | call_reg_date(类型:str):赎回登记日,否,否,否,否,否,是,否,,分类由标题/API名推断
271,https://tushare.pro/document/2?doc_id=271,债券专题 > 债券大宗交易,债券专题,,,债券大宗交易,bond_blk,获取沪深交易所债券大宗交易数据,权限：用户满5000积分有数据权限，单次最大1000条，可根据日期循环提取，总量不限制,,需确认,,,1000,"ts_code(类型:str,必选:N):债券代码 | trade_date(类型:str,必选:N):交易日期（YYYYMMDD格式，下同） | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",trade_date(类型:str):交易日期 | ts_code(类型:str):债券代码 | name(类型:str):债券名称 | price(类型:float):成交价（元） | vol(类型:float):累计成交数量（万股/万份/万张/万手） | amount(类型:float):累计成交金额（万元）,否,否,否,否,否,是,否,,分类由标题/API名推断；权限命中单独/申请/开通等关键词，未强判为可用
272,https://tushare.pro/document/2?doc_id=272,债券专题 > 大宗交易明细,债券专题,,,大宗交易明细,bond_blk_detail,获取沪深交易所债券大宗交易数据,权限：用户满5000积分有数据权限，单次最大1000条，可根据日期循环提取，总量不限制,,需确认,,,1000,"ts_code(类型:str,必选:N):债券代码 | trade_date(类型:str,必选:N):交易日期（YYYYMMDD格式，下同） | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",trade_date(类型:str):交易日期 | ts_code(类型:str):债券代码 | name(类型:str):债券名称 | price(类型:float):成交价（元） | vol(类型:float):成交数量（万股/万份/万张/万手） | amount(类型:float):成交金额（万元） | buy_dp(类型:str):买方营业部 | sell_dp(类型:str):卖方营业部,否,否,否,否,否,是,否,,分类由标题/API名推断；权限命中单独/申请/开通等关键词，未强判为可用
305,https://tushare.pro/document/2?doc_id=305,债券专题 > 可转债票面利率,债券专题,,,可转债票面利率,cb_rate,获取可转债票面利率,限量：单次最大2000，总量不限制；权限：用户需要至少5000积分才可以调取，具体请参阅 积分获取办法,5000,5000积分可用,,,,"ts_code(类型:str,必选:Y):转债代码，支持多值输入",ts_code(类型:str):转债代码 | rate_freq(类型:int):付息频率(次/年) | rate_start_date(类型:str):付息开始日期 | rate_end_date(类型:str):付息结束日期 | coupon_rate(类型:float):票面利率(%),否,否,否,否,否,否,否,,分类由标题/API名推断
322,https://tushare.pro/document/2?doc_id=322,债券专题 > 柜台流通式债券报价,债券专题,,,柜台流通式债券报价,bc_otcqt,柜台流通式债券报价,限量：单次最大2000条，可多次提取，总量不限制；积分：用户需要至少500积分可以试用调取，2000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,500,5000积分可用,,,2000,"trade_date(类型:str,必选:N):交易日期(YYYYMMDD格式，下同) | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | ts_code(类型:str,必选:N):TS代码 | bank(类型:str,必选:N):报价机构",trade_date(类型:str):报价日期 | qt_time(类型:str):报价时间 | bank(类型:str):报价机构 | ts_code(类型:str):债券编码 | name(类型:str):债券简称 | maturity(类型:str):期限 | remain_maturity(类型:str):剩余期限 | bond_type(类型:str):债券类型 | coupon_rate(类型:float):票面利率（%） | buy_price(类型:float):投资者买入全价 | sell_price(类型:float):投资者卖出全价 | buy_yield(类型:float):投资者买入到期收益率（%） | sell_yield(类型:float):投资者卖出到期收益率（%）,否,否,否,否,否,否,否,,分类由标题/API名推断
323,https://tushare.pro/document/2?doc_id=323,债券专题 > 柜台流通式债券最优报价,债券专题,,,柜台流通式债券最优报价,bc_bestotcqt,柜台流通式债券最优报价,限量：单次最大2000，可多次提取，总量不限制；积分：用户需要至少500积分可以试用调取，2000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,500,5000积分可用,,,,"trade_date(类型:str,必选:N):报价日期(YYYYMMDD格式，下同) | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | ts_code(类型:str,必选:N):TS代码",trade_date(类型:str):报价日期 | ts_code(类型:str):债券编码 | name(类型:str):债券简称 | remain_maturity(类型:str):剩余期限 | bond_type(类型:str):债券类型 | best_buy_bank(类型:str):最优报买价方 | best_buy_yield(类型:float):投资者最优买入价到期收益率（%） | best_buy_price(类型:float):投资者最优买入全价 | best_sell_bank(类型:str):最优卖报价方 | best_sell_yield(类型:float):投资者最优卖出价到期收益率（%） | best_sell_price(类型:float):投资者最优卖出全价,否,否,否,否,否,否,否,,分类由标题/API名推断
392,https://tushare.pro/document/2?doc_id=392,债券专题 > 可转债技术因子(专业版),债券专题,,,可转债技术因子(专业版),cb_factor_pro,获取可转债每日技术面因子数据，用于跟踪可转债当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权，_qfq表示前复权 _hfq表示后复权，描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估,限量：单次调取最多返回10000条数据，可以通过日期参数循环；积分：8000积分以上每分钟500次，具体请参阅 积分获取办法,8000,5000积分不可用,500,,10000,"ts_code(类型:str,必选:N):可转债代码 | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | trade_date(类型:str,必选:N):交易日期","ts_code(类型:str,必选:N):可转债代码 | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | trade_date(类型:str,必选:N):交易日期",否,是,否,否,否,否,否,,分类由标题/API名推断
458,https://tushare.pro/document/2?doc_id=458,债券专题 > 获取可转债评级历史记录,债券专题,,,获取可转债评级历史记录,cb_rating,获取可转债评级历史记录,限量：单次最大3000条，可根据代码或日期循环提取；积分：需要2000积分可以调取，具体请参阅 积分获取办法,2000,5000积分可用,,,3000,"ts_code(类型:str,必选:Y):转债代码，支持多值输入",ts_code(类型:str):转债代码 | ann_date(类型:str):评级发布日期 | rating_date(类型:str):评级日期 | rating_com_name(类型:str):评级机构 | rating_way(类型:str):评级方式 | rating_type(类型:str):评级类别 | rating(类型:str):信用等级 | rating_outlook(类型:str):评级展望,否,否,否,否,否,否,否,,分类由标题/API名推断
